date,CVaR_MinRisk
2023-08-08,0.9975
2023-08-09,0.9942512896264007
2023-08-10,0.9981769292037422
2023-08-11,0.9765346038866589
2023-08-14,0.9721318022344273
2023-08-15,0.9757304546743555
2023-08-16,0.9663104292815174
2023-08-17,0.9738878511384114
2023-08-18,0.9654005159205975
2023-08-21,0.9530229929182132
2023-08-22,0.959126976996963
2023-08-23,0.9491570572058157
2023-08-24,0.9490963253219371
2023-08-25,0.9559605406710132
2023-08-28,0.9582942490963962
2023-08-29,0.9602650107296526
2023-08-30,0.9645888940924915
2023-08-31,0.9679091927707175
2023-09-01,0.9622594055087282
2023-09-04,0.9662992754403563
2023-09-05,0.9696074542449873
2023-09-06,0.9687034331201442
2023-09-07,0.958753999274779
2023-09-08,0.9566083128378962
2023-09-11,0.9643955468708217
2023-09-12,0.9646066864448513
2023-09-13,0.9599083475041866
2023-09-14,0.9667639794034452
2023-09-15,0.9613619411680441
2023-09-18,0.9567154533770758
2023-09-19,0.9563527067134171
2023-09-20,0.9509609634863057
2023-09-21,0.9437184333595636
2023-09-22,0.9557229658952261
2023-09-25,0.9564861163166528
2023-09-26,0.9521567709940685
2023-09-27,0.9449698258666819
2023-09-28,0.9509781908623116
2023-10-09,0.9608921868167887
2023-10-10,0.9590884142662529
2023-10-11,0.9585790348281066
2023-10-12,0.9685282300826563
2023-10-13,0.9643619939048536
2023-10-16,0.9653854051443225
2023-10-17,0.9714543552585566
2023-10-18,0.9681833885779163
2023-10-19,0.955107523078825
2023-10-20,0.9452728455225694
2023-10-23,0.9356249761985524
2023-10-24,0.9458893109763188
2023-10-25,0.9443908016572357
2023-10-26,0.9564052574154321
2023-10-27,0.9631414366204634
2023-10-30,0.9668466649338398
2023-10-31,0.9685267174398262
2023-11-01,0.9720683322868509
2023-11-02,0.9718588764334097
2023-11-03,0.972952372075452
2023-11-06,0.9671804105621084
2023-11-07,0.9663633450575755
2023-11-08,0.965127162220008
2023-11-09,0.968977863637165
2023-11-10,0.9668642262805773
2023-11-13,0.9633107084158421
2023-11-14,0.9584843643153709
2023-11-15,0.9684862377835735
2023-11-16,0.9661719055752864
2023-11-17,0.9648448124966031
2023-11-20,0.9690254819070198
2023-11-21,0.9676150004818926
2023-11-22,0.9641621472023186
2023-11-23,0.9668231322486185
2023-11-24,0.9649431026219827
2023-11-27,0.964764890146347
2023-11-28,0.9621530078092725
2023-11-29,0.9574865889059884
2023-11-30,0.9653052297329675
2023-12-01,0.9539481353295423
2023-12-04,0.9540730164762882
2023-12-05,0.9438411266488113
2023-12-06,0.9403036011249783
2023-12-07,0.9409231743248759
2023-12-08,0.9399677887293426
2023-12-11,0.9469478416017081
2023-12-12,0.9556739920168931
2023-12-13,0.9503261129613211
2023-12-14,0.9509512867219764
2023-12-15,0.9416533767419423
2023-12-18,0.9459874824521871
2023-12-19,0.9500056511511106
2023-12-20,0.9501362714521151
2023-12-21,0.9527697464094057
2023-12-22,0.9516452299086561
2023-12-25,0.9585198800459754
2023-12-26,0.9599466135943573
2023-12-27,0.9615013166727961
2023-12-28,0.9636881429823925
2023-12-29,0.9701559809571519
2024-01-02,0.9731102183521733
2024-01-03,0.9787450996533352
2024-01-04,0.9762188177101031
2024-01-05,0.9725850153954853
2024-01-08,0.9650106699715334
2024-01-09,0.9645546096252703
2024-01-10,0.9572115823211466
2024-01-11,0.9537582128141527
2024-01-12,0.9624159592055868
2024-01-15,0.9632207555042341
2024-01-16,0.9692160268730388
2024-01-17,0.9560500705132973
2024-01-18,0.9617221791115882
2024-01-19,0.9618534835411542
2024-01-22,0.9480769726443679
2024-01-23,0.948456077068136
2024-01-24,0.9716611730775823
2024-01-25,0.9841486818429225
2024-01-26,0.9859000011648898
2024-01-29,0.9880677957072216
2024-01-30,0.9749423892858187
2024-01-31,0.9779219444407867
2024-02-01,0.9750784757009495
2024-02-02,0.974922786253778
2024-02-05,0.9920170947977462
2024-02-06,1.0062282129359128
2024-02-07,1.0091461219445215
2024-02-08,1.0100264227017015
2024-02-19,1.0314516518068306
2024-02-20,1.0423794161723285
