date,CVaR_MinRisk_4yr
2023-08-08,0.9975
2023-08-09,0.9960392746118076
2023-08-10,0.9971380980990928
2023-08-11,0.9782252148978847
2023-08-14,0.9730604754851097
2023-08-15,0.9810104104467741
2023-08-16,0.9743126778951091
2023-08-17,0.9781751197113357
2023-08-18,0.9761552580425882
2023-08-21,0.9630018253524488
2023-08-22,0.9715063911674894
2023-08-23,0.9669942779802836
2023-08-24,0.9614301213006053
2023-08-25,0.9687364973745289
2023-08-28,0.9730831012616589
2023-08-29,0.9687564585623653
2023-08-30,0.9670607247904571
2023-08-31,0.9681909888341966
2023-09-01,0.9626634141904377
2023-09-04,0.9724602954618171
2023-09-05,0.9715070483752188
2023-09-06,0.9704729184303215
2023-09-07,0.9647083286674168
2023-09-08,0.9641820417673518
2023-09-11,0.9713989138984583
2023-09-12,0.9727593555091938
2023-09-13,0.9716374146376198
2023-09-14,0.9878062535750775
2023-09-15,0.9812137887803388
2023-09-18,0.9794531827314433
2023-09-19,0.9822544683914869
2023-09-20,0.9820132839798378
2023-09-21,0.9753919763499411
2023-09-22,0.984413912199656
2023-09-25,0.9838215662211933
2023-09-26,0.9784786878466681
2023-09-27,0.9709603216540079
2023-09-28,0.974171418352089
2023-10-09,0.9829486602389927
2023-10-10,0.9805658493185998
2023-10-11,0.9784215402881455
2023-10-12,0.9891633655780594
2023-10-13,0.9892331591692984
2023-10-16,0.9882887725141055
2023-10-17,0.9958282011320145
2023-10-18,0.9958051350887831
2023-10-19,0.9774771264014483
2023-10-20,0.967920527574815
2023-10-23,0.9618791809571885
2023-10-24,0.9674648043487244
2023-10-25,0.9542884833082073
2023-10-26,0.9679338754692299
2023-10-27,0.9673172315297269
2023-10-30,0.9601956574576067
2023-10-31,0.9646305741756005
2023-11-01,0.9687617849701111
2023-11-02,0.9732725143282188
2023-11-03,0.9713177918917915
2023-11-06,0.9602873926739214
2023-11-07,0.9604294423705416
2023-11-08,0.9597337142975387
2023-11-09,0.9672008225052989
2023-11-10,0.9637288671150809
2023-11-13,0.9626338099938245
2023-11-14,0.9601961825252867
2023-11-15,0.9681081731450027
2023-11-16,0.9675629596842176
2023-11-17,0.9631552466986582
2023-11-20,0.9661014798228132
2023-11-21,0.9681554452455536
2023-11-22,0.964514121766229
2023-11-23,0.9642887786416933
2023-11-24,0.9635102944848074
2023-11-27,0.9600310694952578
2023-11-28,0.9583032329715307
2023-11-29,0.9517899775403258
2023-11-30,0.9633715947865116
2023-12-01,0.964324918494057
2023-12-04,0.9612719823067407
2023-12-05,0.9497401373510266
2023-12-06,0.9438238545871741
2023-12-07,0.9450653310772696
2023-12-08,0.9473533916384632
2023-12-11,0.951267369675601
2023-12-12,0.9615129690026195
2023-12-13,0.9603190545388819
2023-12-14,0.9598758120827833
2023-12-15,0.9500198789424084
2023-12-18,0.9566790998652548
2023-12-19,0.9592106305390652
2023-12-20,0.9621924566163566
2023-12-21,0.9627174515591741
2023-12-22,0.9644027064746635
2023-12-25,0.9690040058177105
2023-12-26,0.9675001727039615
2023-12-27,0.9717456511562612
2023-12-28,0.9725836041604758
2023-12-29,0.975329667107055
2024-01-02,0.9807425281191262
2024-01-03,0.9872429652162581
2024-01-04,0.9895590476412846
2024-01-05,0.997593924283854
2024-01-08,0.9854333418088514
2024-01-09,0.9851335851959947
2024-01-10,0.9794753527540293
2024-01-11,0.9739739572144568
2024-01-12,0.9850367430200612
2024-01-15,0.9886500629848919
2024-01-16,0.9976895832808049
2024-01-17,0.9845304764261584
2024-01-18,0.9866482749702381
2024-01-19,0.9889439097727053
2024-01-22,0.9781178659971896
2024-01-23,0.9792154095237037
2024-01-24,1.0018707213949918
2024-01-25,1.0204539225536196
2024-01-26,1.0260622123900969
2024-01-29,1.0412715071177263
2024-01-30,1.0291800673029914
2024-01-31,1.0325484281993333
2024-02-01,1.0238167786345964
2024-02-02,1.0205896516605726
2024-02-05,1.0448045670030515
2024-02-06,1.051577362187466
2024-02-07,1.047462166963265
2024-02-08,1.0434574416668039
2024-02-19,1.0698246877658184
2024-02-20,1.0796582501147878
