date,CVaR_Sharpe
2023-08-08,0.9975
2023-08-09,0.9928999964412976
2023-08-10,0.9924432738285017
2023-08-11,0.9717891636287131
2023-08-14,0.9650233662817869
2023-08-15,0.967785500034248
2023-08-16,0.9620606439187956
2023-08-17,0.9605884499911993
2023-08-18,0.9571655059329982
2023-08-21,0.9489734678217429
2023-08-22,0.959096429965754
2023-08-23,0.9555750588495089
2023-08-24,0.9616203234835526
2023-08-25,0.9593703690155937
2023-08-28,0.9716403876521096
2023-08-29,0.964714223773461
2023-08-30,0.967340853640122
2023-08-31,0.9632397968373855
2023-09-01,0.9587536841254278
2023-09-04,0.9853597666410387
2023-09-05,0.9734493123785415
2023-09-06,0.9710126773404394
2023-09-07,0.9663396776713259
2023-09-08,0.9562676433561498
2023-09-11,0.96410564059832
2023-09-12,0.9615114779975299
2023-09-13,0.9562835114335514
2023-09-14,0.9697506020824705
2023-09-15,0.9603963608917208
2023-09-18,0.972676763295529
2023-09-19,0.9654427101528679
2023-09-20,0.9683072413640412
2023-09-21,0.9592690377586979
2023-09-22,0.9748344054475262
2023-09-25,0.9721395124289687
2023-09-26,0.9716343116629375
2023-09-27,0.9691954318616911
2023-09-28,0.9561686966611185
2023-10-09,0.9616147968886565
2023-10-10,0.9549735079168858
2023-10-11,0.9521636917757681
2023-10-12,0.9680764914018517
2023-10-13,0.9628161347346257
2023-10-16,0.955012906616126
2023-10-17,0.9585706029414988
2023-10-18,0.9542866991190028
2023-10-19,0.9346127277020011
2023-10-20,0.925107164776114
2023-10-23,0.9184889167161372
2023-10-24,0.9146618201383782
2023-10-25,0.9671531660438504
2023-10-26,0.9669586368781705
2023-10-27,0.9677199535961147
2023-10-30,0.9541107470730841
2023-10-31,0.9590280159947774
2023-11-01,0.9693235898353582
2023-11-02,0.9753476318060732
2023-11-03,0.9717298832108229
2023-11-06,0.9714958871271899
2023-11-07,0.9749236172887433
2023-11-08,0.9695535414990695
2023-11-09,0.9717582847912749
2023-11-10,0.9717707794971253
2023-11-13,0.9615261059191204
2023-11-14,0.9603451725108368
2023-11-15,0.9782940188206226
2023-11-16,0.9764614624166612
2023-11-17,0.9801093861790636
2023-11-20,0.9882185758437454
2023-11-21,0.9882902783211728
2023-11-22,0.9781332810298677
2023-11-23,0.992071406822661
2023-11-24,0.9896524808452559
2023-11-27,0.9901708526378528
2023-11-28,1.0014386797699153
2023-11-29,0.9902024635431106
2023-11-30,0.9889756783933128
2023-12-01,0.9377154445507693
2023-12-04,0.9461464787832048
2023-12-05,0.9397795150274096
2023-12-06,0.9387112483474179
2023-12-07,0.9357567173318956
2023-12-08,0.932776014411389
2023-12-11,0.9375401965368974
2023-12-12,0.9444388431600261
2023-12-13,0.9397267345362337
2023-12-14,0.9256253243374498
2023-12-15,0.9186937393747673
2023-12-18,0.918996606379396
2023-12-19,0.9194130642041947
2023-12-20,0.9143052623637182
2023-12-21,0.9121905271828821
2023-12-22,0.9125329600212343
2023-12-25,0.9221496665339943
2023-12-26,0.9210038672735542
2023-12-27,0.9219992322832175
2023-12-28,0.9136873719809583
2023-12-29,0.9188691455543361
2024-01-02,0.9299412590917436
2024-01-03,0.9331363341561915
2024-01-04,0.9346983175392078
2024-01-05,0.9318539057308898
2024-01-08,0.9233822098049502
2024-01-09,0.9237771645436711
2024-01-10,0.9168353091307446
2024-01-11,0.915369085468578
2024-01-12,0.9303710740816133
2024-01-15,0.932682976931741
2024-01-16,0.943034123131519
2024-01-17,0.9309416018032954
2024-01-18,0.927682464530399
2024-01-19,0.9246574555702889
2024-01-22,0.9111167927223505
2024-01-23,0.9129202327936995
2024-01-24,0.9415246710334765
2024-01-25,0.9524694599028526
2024-01-26,0.9591171194339362
2024-01-29,0.9618069875435127
2024-01-30,0.9548136655321354
2024-01-31,0.9573399832247884
2024-02-01,0.9559980288424931
2024-02-02,0.9565976592556842
2024-02-05,0.9729090734198517
2024-02-06,0.9783317988521975
2024-02-07,0.9783559723254971
2024-02-08,0.9810058595506974
2024-02-19,0.9977435384320482
2024-02-20,1.0167140840539817
