date,CVaR_Sharpe_4yr
2023-08-08,0.9975
2023-08-09,0.9925560863397609
2023-08-10,0.997722418691436
2023-08-11,0.9757714811713928
2023-08-14,0.9682464733617605
2023-08-15,0.9723594825498937
2023-08-16,0.9576778077959343
2023-08-17,0.9629345279021667
2023-08-18,0.9530614412845785
2023-08-21,0.9450371610829311
2023-08-22,0.9531639363919274
2023-08-23,0.9412905739168714
2023-08-24,0.946516429121376
2023-08-25,0.9515955327596843
2023-08-28,0.9504759479694214
2023-08-29,0.9594396424281979
2023-08-30,0.9693461204356137
2023-08-31,0.9759180795197954
2023-09-01,0.9663311784689705
2023-09-04,0.9647381630117351
2023-09-05,0.9689684896821923
2023-09-06,0.9750740105437526
2023-09-07,0.9556457241256542
2023-09-08,0.957295788374442
2023-09-11,0.9616573137730094
2023-09-12,0.9615546289552218
2023-09-13,0.9555379057396161
2023-09-14,0.9581330827072745
2023-09-15,0.952585585420384
2023-09-18,0.9410918567841725
2023-09-19,0.9384435849889269
2023-09-20,0.9283031114887635
2023-09-21,0.9208134898280839
2023-09-22,0.9329649424898223
2023-09-25,0.9330197226732476
2023-09-26,0.9259496432045294
2023-09-27,0.91807238628054
2023-09-28,0.9287019885620307
2023-10-09,0.9390483819277984
2023-10-10,0.9410174537025323
2023-10-11,0.9366814705119073
2023-10-12,0.9509989114162009
2023-10-13,0.943153890490904
2023-10-16,0.9337397104472863
2023-10-17,0.9444731764308091
2023-10-18,0.9445426387762638
2023-10-19,0.9341647975406824
2023-10-20,0.92317335383936
2023-10-23,0.9124886483600705
2023-10-24,0.928844214194863
2023-10-25,0.9180923274962565
2023-10-26,0.9308750391972103
2023-10-27,0.9358847784353294
2023-10-30,0.9390346097875217
2023-10-31,0.9408091607336884
2023-11-01,0.9405043676065988
2023-11-02,0.9400647419088823
2023-11-03,0.9449805318232227
2023-11-06,0.9378888767477929
2023-11-07,0.9356190803851306
2023-11-08,0.9401138957762011
2023-11-09,0.942776904769866
2023-11-10,0.9399818963798869
2023-11-13,0.938468336605258
2023-11-14,0.9321313133046631
2023-11-15,0.9373919055346606
2023-11-16,0.9313112163507239
2023-11-17,0.9281617463945059
2023-11-20,0.9264096247832038
2023-11-21,0.923396807685691
2023-11-22,0.9171267413506853
2023-11-23,0.9195821154660971
2023-11-24,0.9172455439192654
2023-11-27,0.9193716145508353
2023-11-28,0.9156892021130757
2023-11-29,0.9101795070004678
2023-11-30,0.9184564205122454
2023-12-01,0.9140289425358233
2023-12-04,0.9094677209745804
2023-12-05,0.8986670556272489
2023-12-06,0.8945712727707782
2023-12-07,0.8899479103638449
2023-12-08,0.8954998585492848
2023-12-11,0.9060600464936289
2023-12-12,0.9094787700918192
2023-12-13,0.9078250856311251
2023-12-14,0.9085060333270154
2023-12-15,0.8996540718656668
2023-12-18,0.9049740746716689
2023-12-19,0.9123958419807524
2023-12-20,0.9190349331886914
2023-12-21,0.9214725314910647
2023-12-22,0.9191458251037613
2023-12-25,0.9244282841310734
2023-12-26,0.9236522575131644
2023-12-27,0.9352842389475635
2023-12-28,0.9347157283572758
2023-12-29,0.9380399168399474
2024-01-02,0.9424131527856894
2024-01-03,0.9458679726865609
2024-01-04,0.9433674405280165
2024-01-05,0.9392198568543009
2024-01-08,0.9275443646738469
2024-01-09,0.9271298430098183
2024-01-10,0.9196172316921443
2024-01-11,0.9177831433376602
2024-01-12,0.9270169070717134
2024-01-15,0.9266284933587731
2024-01-16,0.9377479494056346
2024-01-17,0.9285381965762605
2024-01-18,0.9398415413470972
2024-01-19,0.9406653230743384
2024-01-22,0.9320627677389901
2024-01-23,0.9313868154565126
2024-01-24,0.9504105131619541
2024-01-25,0.956747533575321
2024-01-26,0.9562978368848981
2024-01-29,0.9564623498904343
2024-01-30,0.9399309395921648
2024-01-31,0.9466582255448981
2024-02-01,0.9426649565917096
2024-02-02,0.940639775913199
2024-02-05,0.9650760220553771
2024-02-06,0.9754570835982893
2024-02-07,0.9741177782298531
2024-02-08,0.9717982398090762
2024-02-19,0.9942775289372804
2024-02-20,1.0025235154909293
