date,EVaR_MinRisk
2023-08-08,0.9975
2023-08-09,0.9933263859676192
2023-08-10,0.9964806232390399
2023-08-11,0.9744345386816673
2023-08-14,0.9695552681353377
2023-08-15,0.972406866330738
2023-08-16,0.9619678678979328
2023-08-17,0.9689394904523062
2023-08-18,0.9581319332672283
2023-08-21,0.9486836100372122
2023-08-22,0.9573460420088485
2023-08-23,0.945159176545093
2023-08-24,0.9473760408100427
2023-08-25,0.9522354635802388
2023-08-28,0.9551755137458124
2023-08-29,0.9587096757118024
2023-08-30,0.9640729909151706
2023-08-31,0.9645495167121991
2023-09-01,0.9592370757594674
2023-09-04,0.9668709131195177
2023-09-05,0.9661276693604872
2023-09-06,0.9667233836460131
2023-09-07,0.9521759631824139
2023-09-08,0.9502964626156538
2023-09-11,0.959080789059106
2023-09-12,0.9569961544049528
2023-09-13,0.9529525639899148
2023-09-14,0.9572937901561942
2023-09-15,0.9514988411522257
2023-09-18,0.9482369955977032
2023-09-19,0.9458226455558518
2023-09-20,0.9402146213507168
2023-09-21,0.9336283370726391
2023-09-22,0.9451578847811966
2023-09-25,0.9440273561667821
2023-09-26,0.940148209403296
2023-09-27,0.9342708833457326
2023-09-28,0.9403602974613693
2023-10-09,0.9547887458970278
2023-10-10,0.9524925640980403
2023-10-11,0.9504822444023578
2023-10-12,0.9598970335928116
2023-10-13,0.9538157647745273
2023-10-16,0.9508453816797029
2023-10-17,0.957673219807087
2023-10-18,0.953230558580224
2023-10-19,0.9396485366257715
2023-10-20,0.9290130801750084
2023-10-23,0.9184347754937763
2023-10-24,0.9335709955926835
2023-10-25,0.9347949861165914
2023-10-26,0.9456007306549115
2023-10-27,0.9516689932763821
2023-10-30,0.9582195357411976
2023-10-31,0.9586119379234724
2023-11-01,0.9610903479541775
2023-11-02,0.958765934584234
2023-11-03,0.9628350365227395
2023-11-06,0.9583334327642485
2023-11-07,0.9564909848221178
2023-11-08,0.9561706080989163
2023-11-09,0.9582128468408462
2023-11-10,0.9554832690706334
2023-11-13,0.9527120080168946
2023-11-14,0.9489966190850475
2023-11-15,0.95540147331125
2023-11-16,0.9538832272448686
2023-11-17,0.9498912494591355
2023-11-20,0.9548370872049606
2023-11-21,0.9537573401810653
2023-11-22,0.9510494996709007
2023-11-23,0.950946711046897
2023-11-24,0.9483110351429963
2023-11-27,0.9459520727787721
2023-11-28,0.9445256411180164
2023-11-29,0.9398179533439817
2023-11-30,0.9471992545633422
2023-12-01,0.9396622254472602
2023-12-04,0.9374101663144945
2023-12-05,0.9254132518915867
2023-12-06,0.9216395439842269
2023-12-07,0.9224024272180583
2023-12-08,0.9217583996600087
2023-12-11,0.9286623181467727
2023-12-12,0.938695030048545
2023-12-13,0.9342034750267312
2023-12-14,0.9347698406406845
2023-12-15,0.926799007204679
2023-12-18,0.929406680865362
2023-12-19,0.9339202393432023
2023-12-20,0.9334587237595674
2023-12-21,0.9369198202551997
2023-12-22,0.9345907498821564
2023-12-25,0.9406816456853362
2023-12-26,0.9423372690476924
2023-12-27,0.9414253751466137
2023-12-28,0.9464446066809767
2023-12-29,0.9527569825397777
2024-01-02,0.9540940863982118
2024-01-03,0.9590469508030891
2024-01-04,0.9561685698784173
2024-01-05,0.9527185907673671
2024-01-08,0.9461748256177934
2024-01-09,0.9432663492653505
2024-01-10,0.9360550524727487
2024-01-11,0.9347858570241218
2024-01-12,0.9418719229528739
2024-01-15,0.9426697564925156
2024-01-16,0.9476698008458561
2024-01-17,0.9348441107760452
2024-01-18,0.9410092360932326
2024-01-19,0.9429203776405085
2024-01-22,0.9291030055028245
2024-01-23,0.930064745721491
2024-01-24,0.9546100305867692
2024-01-25,0.9653439245923031
2024-01-26,0.967618080750125
2024-01-29,0.969968123988886
2024-01-30,0.9579707717435351
2024-01-31,0.9592351818857595
2024-02-01,0.9558510138780847
2024-02-02,0.9568172699960515
2024-02-05,0.9700409702673596
2024-02-06,0.9833347929570234
2024-02-07,0.9868103875963905
2024-02-08,0.9878470712995799
2024-02-19,1.0092709283748107
2024-02-20,1.017968420957019
