date,EVaR_MinRisk_4yr
2023-08-08,0.9975
2023-08-09,0.9971540590006629
2023-08-10,0.9981198997733778
2023-08-11,0.9797471558096995
2023-08-14,0.9728538634072138
2023-08-15,0.9819226490482567
2023-08-16,0.9748465319741644
2023-08-17,0.978564108007621
2023-08-18,0.9789660958665949
2023-08-21,0.9641954292855758
2023-08-22,0.9705002647605491
2023-08-23,0.9683557028422484
2023-08-24,0.9639983597777835
2023-08-25,0.9707486240873375
2023-08-28,0.9743985812440635
2023-08-29,0.9683568646208518
2023-08-30,0.965092239675607
2023-08-31,0.965159603353872
2023-09-01,0.9604191547013888
2023-09-04,0.9696114109916216
2023-09-05,0.9692223848258169
2023-09-06,0.9697768238881429
2023-09-07,0.9651804005058409
2023-09-08,0.9635479912361702
2023-09-11,0.9694380090297965
2023-09-12,0.971197770551195
2023-09-13,0.971037748420888
2023-09-14,0.9885686445198796
2023-09-15,0.9806170021808973
2023-09-18,0.9806998890459449
2023-09-19,0.9828963143945888
2023-09-20,0.9846808343554163
2023-09-21,0.9770247581694218
2023-09-22,0.984652913843765
2023-09-25,0.9852328225555955
2023-09-26,0.980265831943626
2023-09-27,0.9736501076020725
2023-09-28,0.9752962197063643
2023-10-09,0.9827578825965928
2023-10-10,0.9805436258492193
2023-10-11,0.9779338745153235
2023-10-12,0.9906282701622945
2023-10-13,0.9925158605580066
2023-10-16,0.9920222990390346
2023-10-17,0.9992777620085581
2023-10-18,0.9995416578455177
2023-10-19,0.9795472150989345
2023-10-20,0.970071745013947
2023-10-23,0.9656515793636252
2023-10-24,0.9716435367774143
2023-10-25,0.9568466679730899
2023-10-26,0.9701377875366978
2023-10-27,0.9669387821118669
2023-10-30,0.9582044237076166
2023-10-31,0.9628380629253924
2023-11-01,0.9664181409563689
2023-11-02,0.9720438778171642
2023-11-03,0.9713728560173764
2023-11-06,0.9591879116957949
2023-11-07,0.9595923709061832
2023-11-08,0.9598755753191321
2023-11-09,0.9671575122937093
2023-11-10,0.9636410725108026
2023-11-13,0.9622773357342299
2023-11-14,0.9591211868532235
2023-11-15,0.966853833687392
2023-11-16,0.9667661872674019
2023-11-17,0.9614880624856711
2023-11-20,0.9635197899889023
2023-11-21,0.9676031978219101
2023-11-22,0.9642928316550232
2023-11-23,0.9633682228388671
2023-11-24,0.9633964770338125
2023-11-27,0.959584836622813
2023-11-28,0.957523050685956
2023-11-29,0.9501082355048205
2023-11-30,0.961117264854965
2023-12-01,0.9620635573775266
2023-12-04,0.9570766623476543
2023-12-05,0.9450767165997226
2023-12-06,0.9382195962738267
2023-12-07,0.9404703690553291
2023-12-08,0.945104850028145
2023-12-11,0.9482956816957608
2023-12-12,0.9570391774236047
2023-12-13,0.9537146436308644
2023-12-14,0.9514962004320551
2023-12-15,0.9432061220746976
2023-12-18,0.9485703032064287
2023-12-19,0.9491667206584196
2023-12-20,0.9538685476662048
2023-12-21,0.9523146963401603
2023-12-22,0.9532163614322748
2023-12-25,0.9593151865837372
2023-12-26,0.9571522092062316
2023-12-27,0.9598942977500531
2023-12-28,0.9629765906670434
2023-12-29,0.961760345960908
2024-01-02,0.9673043072779652
2024-01-03,0.9742900838309683
2024-01-04,0.9772174653050907
2024-01-05,0.9903783504597371
2024-01-08,0.9767642677921782
2024-01-09,0.9763673606485095
2024-01-10,0.9716814159160799
2024-01-11,0.9656678057107139
2024-01-12,0.9776826732661069
2024-01-15,0.9822216038691155
2024-01-16,0.993011014520029
2024-01-17,0.9806154538586858
2024-01-18,0.9833457651808664
2024-01-19,0.9849506217326048
2024-01-22,0.9733461769103908
2024-01-23,0.9766900620397616
2024-01-24,0.9996998574922863
2024-01-25,1.0156785443498273
2024-01-26,1.0232652671175078
2024-01-29,1.0429908935640304
2024-01-30,1.0296016855152155
2024-01-31,1.035769147815011
2024-02-01,1.0267830116373546
2024-02-02,1.0231920216312809
2024-02-05,1.0523576865589335
2024-02-06,1.0547588370962189
2024-02-07,1.0457945950018186
2024-02-08,1.040005185586036
2024-02-19,1.0657917560526524
2024-02-20,1.0764332384923267
