date,EVaR_Sharpe
2023-08-08,0.9975
2023-08-09,0.9920267705016605
2023-08-10,0.9909847655132271
2023-08-11,0.9690523382151421
2023-08-14,0.9645591994552722
2023-08-15,0.96769323217501
2023-08-16,0.964197753406459
2023-08-17,0.9625921148187119
2023-08-18,0.9587246137975965
2023-08-21,0.9510156841157643
2023-08-22,0.9610804443198229
2023-08-23,0.9570355516234924
2023-08-24,0.9661904642642234
2023-08-25,0.9633430620956914
2023-08-28,0.9757048438825433
2023-08-29,0.9705481949145275
2023-08-30,0.9777794458419553
2023-08-31,0.9744070048179867
2023-09-01,0.9688865213715675
2023-09-04,0.9952480581343712
2023-09-05,0.9838102954126257
2023-09-06,0.9821443409534135
2023-09-07,0.977390503932968
2023-09-08,0.9672105132325992
2023-09-11,0.9743296675977345
2023-09-12,0.9709860865368575
2023-09-13,0.9661453838177464
2023-09-14,0.9801061200226094
2023-09-15,0.9698609869061063
2023-09-18,0.9827236806609956
2023-09-19,0.9747725688209091
2023-09-20,0.9772357592526898
2023-09-21,0.9683314969133598
2023-09-22,0.9851066838870167
2023-09-25,0.9821820244024958
2023-09-26,0.9812845398829009
2023-09-27,0.9779286069851376
2023-09-28,0.9666244864353446
2023-10-09,0.9715528365947138
2023-10-10,0.9658176004435426
2023-10-11,0.9620993135855447
2023-10-12,0.9763298000365231
2023-10-13,0.9711417041482757
2023-10-16,0.9684818476002687
2023-10-17,0.9726302141900378
2023-10-18,0.9698877353799069
2023-10-19,0.949866631688689
2023-10-20,0.9401217825519056
2023-10-23,0.9349495355261809
2023-10-24,0.9289020051031925
2023-10-25,0.9729912614620206
2023-10-26,0.9740801810179334
2023-10-27,0.973989221292244
2023-10-30,0.9567779421104874
2023-10-31,0.9629145963442123
2023-11-01,0.9733370972214843
2023-11-02,0.9806277199675463
2023-11-03,0.9755943927392386
2023-11-06,0.9747080822353342
2023-11-07,0.978401223426428
2023-11-08,0.9730331563229903
2023-11-09,0.9751995015549426
2023-11-10,0.9742676166284345
2023-11-13,0.9650759535038566
2023-11-14,0.9642913389962597
2023-11-15,0.9793852519178939
2023-11-16,0.9771687454558811
2023-11-17,0.9770297644096861
2023-11-20,0.9858142971936801
2023-11-21,0.9861612389069858
2023-11-22,0.9779279350098125
2023-11-23,0.9892776534807888
2023-11-24,0.9872944122066246
2023-11-27,0.9863561161738983
2023-11-28,0.9950330376815871
2023-11-29,0.9837508234395906
2023-11-30,0.9807590456639569
2023-12-01,0.9233404572687315
2023-12-04,0.9329199386921823
2023-12-05,0.9250482901209899
2023-12-06,0.9220015837930511
2023-12-07,0.9208760183849887
2023-12-08,0.9196466198207802
2023-12-11,0.9220086877509306
2023-12-12,0.9304369595900474
2023-12-13,0.9290297608137664
2023-12-14,0.9184000400880082
2023-12-15,0.9102120931991653
2023-12-18,0.9140949609354379
2023-12-19,0.9169642662184864
2023-12-20,0.9116830762658119
2023-12-21,0.9091114501069237
2023-12-22,0.9088791549035986
2023-12-25,0.9185080313655369
2023-12-26,0.9185516280975698
2023-12-27,0.9193143473041118
2023-12-28,0.9098969700114812
2023-12-29,0.913499804121534
2024-01-02,0.9261010667846746
2024-01-03,0.9291379556410228
2024-01-04,0.9302477603895729
2024-01-05,0.9275987986962895
2024-01-08,0.9206789798183972
2024-01-09,0.9193128265698288
2024-01-10,0.9125962617256889
2024-01-11,0.9102116044067594
2024-01-12,0.925508973428625
2024-01-15,0.9258353618750296
2024-01-16,0.934012963712662
2024-01-17,0.9224114948625025
2024-01-18,0.9194175713597362
2024-01-19,0.9198905166727973
2024-01-22,0.9060635782425627
2024-01-23,0.9068718860727016
2024-01-24,0.9345240024762052
2024-01-25,0.9454332695521274
2024-01-26,0.9518961868502943
2024-01-29,0.9534501557953865
2024-01-30,0.9483152408830139
2024-01-31,0.9478654488775873
2024-02-01,0.9434813339199475
2024-02-02,0.9463889371414741
2024-02-05,0.960381738925947
2024-02-06,0.9635794401176315
2024-02-07,0.9649895057497996
2024-02-08,0.9657613101113304
2024-02-19,0.9840515652928989
2024-02-20,0.9996233980609108
