date,EVaR_Sharpe_4yr
2023-08-08,0.9975
2023-08-09,0.9925400508886241
2023-08-10,0.9980843708904344
2023-08-11,0.9765370359253518
2023-08-14,0.9709246132787698
2023-08-15,0.9755325718766711
2023-08-16,0.9618325440780238
2023-08-17,0.966823366406119
2023-08-18,0.9575394829116466
2023-08-21,0.9494491672394253
2023-08-22,0.9578858970641069
2023-08-23,0.9460896024941711
2023-08-24,0.9499208147848592
2023-08-25,0.9549582054514887
2023-08-28,0.9546734872692496
2023-08-29,0.9629500798506396
2023-08-30,0.9727087899388843
2023-08-31,0.9790566514735973
2023-09-01,0.9683816506692394
2023-09-04,0.9673597364432671
2023-09-05,0.9716867859571441
2023-09-06,0.9765231252070463
2023-09-07,0.9589904624254918
2023-09-08,0.9603183263712461
2023-09-11,0.9649435729659132
2023-09-12,0.9652964273584932
2023-09-13,0.9599016493129724
2023-09-14,0.9639117489358229
2023-09-15,0.9588371408895454
2023-09-18,0.9472815753361277
2023-09-19,0.9452987718064032
2023-09-20,0.9354895934907297
2023-09-21,0.9281665210672048
2023-09-22,0.9406650631011918
2023-09-25,0.9405875057583443
2023-09-26,0.9337135739230896
2023-09-27,0.925445295570922
2023-09-28,0.936238205954004
2023-10-09,0.9485123695089195
2023-10-10,0.9519918029309035
2023-10-11,0.9478058053411808
2023-10-12,0.9609267846950565
2023-10-13,0.952556092727015
2023-10-16,0.943179017719939
2023-10-17,0.9545612291962529
2023-10-18,0.9536607035210583
2023-10-19,0.9458008183007306
2023-10-20,0.9345509749986319
2023-10-23,0.922651866542988
2023-10-24,0.9436665502099796
2023-10-25,0.930089856701542
2023-10-26,0.9442519205300242
2023-10-27,0.9500871354382775
2023-10-30,0.959637926862842
2023-10-31,0.9607157281972017
2023-11-01,0.9601124198668066
2023-11-02,0.9598736368294469
2023-11-03,0.964110962826574
2023-11-06,0.9566953405620849
2023-11-07,0.9547081273038119
2023-11-08,0.9588287362438679
2023-11-09,0.9618981425612559
2023-11-10,0.9591954247721302
2023-11-13,0.9573548405528792
2023-11-14,0.9506912657310711
2023-11-15,0.9563470287847887
2023-11-16,0.9499105814709136
2023-11-17,0.9467819359472516
2023-11-20,0.945358302585743
2023-11-21,0.9419868436742099
2023-11-22,0.9353075594418228
2023-11-23,0.93846504921928
2023-11-24,0.9352475460873275
2023-11-27,0.938267144719144
2023-11-28,0.9346335259606054
2023-11-29,0.928546231435005
2023-11-30,0.9358886786257579
2023-12-01,0.9316042224884032
2023-12-04,0.9270275339872913
2023-12-05,0.9149062939779689
2023-12-06,0.9104278284839689
2023-12-07,0.9042615113516551
2023-12-08,0.9107344861925449
2023-12-11,0.921860834133167
2023-12-12,0.9237729417574011
2023-12-13,0.9206379474213942
2023-12-14,0.9218097166634455
2023-12-15,0.9119954236844408
2023-12-18,0.915747541250615
2023-12-19,0.9262607050372078
2023-12-20,0.9309733849752532
2023-12-21,0.9365771642220608
2023-12-22,0.934410897824205
2023-12-25,0.9384290359573609
2023-12-26,0.9359293608939249
2023-12-27,0.9500715982648967
2023-12-28,0.9523161464255583
2023-12-29,0.9572068112904729
2024-01-02,0.958283042746904
2024-01-03,0.9625603243469456
2024-01-04,0.9591087453775312
2024-01-05,0.9541313001544793
2024-01-08,0.9407715861316802
2024-01-09,0.940489889106142
2024-01-10,0.9328312678347813
2024-01-11,0.9298136315157111
2024-01-12,0.9368749264537267
2024-01-15,0.9371471251286011
2024-01-16,0.9504022253831147
2024-01-17,0.9406008960351694
2024-01-18,0.9552753950733777
2024-01-19,0.9536605643908074
2024-01-22,0.9456642628751617
2024-01-23,0.9436798289550702
2024-01-24,0.9609760115043923
2024-01-25,0.9690504300320204
2024-01-26,0.9662278104102059
2024-01-29,0.9655898848874142
2024-01-30,0.9466573962698742
2024-01-31,0.95295548905462
2024-02-01,0.9514353717704708
2024-02-02,0.9487964482881927
2024-02-05,0.972420119180053
2024-02-06,0.9880841665154259
2024-02-07,0.9891181919039573
2024-02-08,0.9886548608515118
2024-02-19,1.0097591172480496
2024-02-20,1.0173765236732177
