date,HERC
2023-08-08,0.9975
2023-08-09,0.9936014393168994
2023-08-10,0.9999619764819702
2023-08-11,0.9776022788654171
2023-08-14,0.9747877805132241
2023-08-15,0.9748551400188171
2023-08-16,0.9664221545626585
2023-08-17,0.9715600035963031
2023-08-18,0.9611747186876893
2023-08-21,0.9427601677084283
2023-08-22,0.9494659726386523
2023-08-23,0.9360747235267662
2023-08-24,0.9365091868128324
2023-08-25,0.9376266846675547
2023-08-28,0.9424721270415948
2023-08-29,0.9481992724118561
2023-08-30,0.9474140626097974
2023-08-31,0.946982623206432
2023-09-01,0.9443646142621847
2023-09-04,0.9557155028690243
2023-09-05,0.9546499618620006
2023-09-06,0.9498843875597566
2023-09-07,0.9412999247015829
2023-09-08,0.9392298487392179
2023-09-11,0.9486986996681451
2023-09-12,0.9482279962486738
2023-09-13,0.9433653594441191
2023-09-14,0.94991857007758
2023-09-15,0.9448108281171511
2023-09-18,0.9435413793194097
2023-09-19,0.9428974844847411
2023-09-20,0.9391978763068974
2023-09-21,0.9326778260325986
2023-09-22,0.9447213263137269
2023-09-25,0.9427762510268709
2023-09-26,0.9372539635664151
2023-09-27,0.931531984433947
2023-09-28,0.9354365684729172
2023-10-09,0.9431222888103571
2023-10-10,0.9409500646463649
2023-10-11,0.9405254356252665
2023-10-12,0.9512127011387405
2023-10-13,0.945959020005732
2023-10-16,0.9456868954095066
2023-10-17,0.9495106473840726
2023-10-18,0.9446175152254481
2023-10-19,0.929257696266064
2023-10-20,0.9204596043103616
2023-10-23,0.9127060184679654
2023-10-24,0.9210510483191133
2023-10-25,0.925299065676278
2023-10-26,0.9338748324591801
2023-10-27,0.9454503132374005
2023-10-30,0.9468839665886218
2023-10-31,0.9485910082367848
2023-11-01,0.9514854943817317
2023-11-02,0.9513818262717572
2023-11-03,0.9513845020599803
2023-11-06,0.9471044513714545
2023-11-07,0.9458860314519871
2023-11-08,0.9443521434255574
2023-11-09,0.9484876493428166
2023-11-10,0.945410226691247
2023-11-13,0.9427706589302749
2023-11-14,0.9413544053913071
2023-11-15,0.949786424110194
2023-11-16,0.9470320032424597
2023-11-17,0.9468057731892608
2023-11-20,0.9524608607252625
2023-11-21,0.9512206176756114
2023-11-22,0.945022931091191
2023-11-23,0.9502081076531239
2023-11-24,0.9459509760312722
2023-11-27,0.9465052390632148
2023-11-28,0.9456368932010106
2023-11-29,0.9378333111375566
2023-11-30,0.939513783839198
2023-12-01,0.9316376774987797
2023-12-04,0.9301016331846
2023-12-05,0.9130689142165459
2023-12-06,0.9086468894128942
2023-12-07,0.9031969472317947
2023-12-08,0.9090655751444372
2023-12-11,0.9144515086810266
2023-12-12,0.9191186809028091
2023-12-13,0.9146720856319503
2023-12-14,0.9081440012501475
2023-12-15,0.9031109194391769
2023-12-18,0.8983670134249351
2023-12-19,0.9043686641036541
2023-12-20,0.8965369433549095
2023-12-21,0.9029096748489405
2023-12-22,0.901195412477253
2023-12-25,0.9074570248743167
2023-12-26,0.9001502656108841
2023-12-27,0.9018093633600867
2023-12-28,0.9066253450821689
2023-12-29,0.90975693982735
2024-01-02,0.9046852064652877
2024-01-03,0.9057261407915209
2024-01-04,0.897827455773248
2024-01-05,0.8945774944578657
2024-01-08,0.8813125747486827
2024-01-09,0.890894566343651
2024-01-10,0.8857993321597983
2024-01-11,0.889150677808155
2024-01-12,0.8937199620849862
2024-01-15,0.9059349372039016
2024-01-16,0.9166057853068659
2024-01-17,0.8975223338164501
2024-01-18,0.9086494938368416
2024-01-19,0.9074991646640644
2024-01-22,0.8912679371741179
2024-01-23,0.8914259721470394
2024-01-24,0.9098315388408281
2024-01-25,0.9277265437421232
2024-01-26,0.925505193334576
2024-01-29,0.930470376013678
2024-01-30,0.9063182892458654
2024-01-31,0.8980445155707175
2024-02-01,0.8977896103115347
2024-02-02,0.8893449539124066
2024-02-05,0.8914044881839973
2024-02-06,0.9194415196562553
2024-02-07,0.923960127112447
2024-02-08,0.9310265211801833
2024-02-19,0.9476822912402594
2024-02-20,0.9501249536697002
