date,HERC_4yr
2023-08-08,0.9975
2023-08-09,0.9935244723520604
2023-08-10,1.0016363573808078
2023-08-11,0.9806165910885379
2023-08-14,0.9767166576780252
2023-08-15,0.9781670489194557
2023-08-16,0.9707145699186467
2023-08-17,0.9748132137653005
2023-08-18,0.9671004162142723
2023-08-21,0.9487786010899911
2023-08-22,0.9559629906364128
2023-08-23,0.9451106560939838
2023-08-24,0.9440754783020109
2023-08-25,0.945345945692359
2023-08-28,0.9507686839881638
2023-08-29,0.9541612226658228
2023-08-30,0.9509104632053071
2023-08-31,0.9497190782547918
2023-09-01,0.9492569655101091
2023-09-04,0.9638922940920807
2023-09-05,0.9602605622865724
2023-09-06,0.9557565819684513
2023-09-07,0.948446331655324
2023-09-08,0.9471467819252776
2023-09-11,0.9567422840214951
2023-09-12,0.9566848623289919
2023-09-13,0.9524053630888422
2023-09-14,0.9619356406934143
2023-09-15,0.9557514009045872
2023-09-18,0.9567212723171253
2023-09-19,0.9565298999514456
2023-09-20,0.9546610852406966
2023-09-21,0.9484013258724667
2023-09-22,0.9591666406220036
2023-09-25,0.9575624898119169
2023-09-26,0.9511864517873478
2023-09-27,0.9467765525215291
2023-09-28,0.9499985941504117
2023-10-09,0.9552737667797624
2023-10-10,0.9519184227714351
2023-10-11,0.9513203232391103
2023-10-12,0.9632203696119161
2023-10-13,0.9585760974125416
2023-10-16,0.9583344313716967
2023-10-17,0.962156182790065
2023-10-18,0.957871439938718
2023-10-19,0.941124097050528
2023-10-20,0.9326424627279211
2023-10-23,0.9252530795999968
2023-10-24,0.9311661375380065
2023-10-25,0.9337759140753642
2023-10-26,0.9425637133237785
2023-10-27,0.9524979483105239
2023-10-30,0.9496677170049331
2023-10-31,0.9516697009091198
2023-11-01,0.9544090010565721
2023-11-02,0.9547312411526101
2023-11-03,0.9541047748572995
2023-11-06,0.9511848233936265
2023-11-07,0.9497178686433688
2023-11-08,0.9471049472264998
2023-11-09,0.9512833228781874
2023-11-10,0.9474914695747957
2023-11-13,0.9452792972398835
2023-11-14,0.9455674158284778
2023-11-15,0.9531795316091278
2023-11-16,0.9507834135108258
2023-11-17,0.949535238569055
2023-11-20,0.955443650925629
2023-11-21,0.9555002273768227
2023-11-22,0.9497677397069482
2023-11-23,0.9538468854675144
2023-11-24,0.9500849568533147
2023-11-27,0.9491516222488416
2023-11-28,0.9483004101433417
2023-11-29,0.9412408615850584
2023-11-30,0.9470183361704565
2023-12-01,0.9408879049451896
2023-12-04,0.9400622293576445
2023-12-05,0.9265233249243029
2023-12-06,0.9228442793115899
2023-12-07,0.9215547546319623
2023-12-08,0.9231079414196046
2023-12-11,0.92617301277181
2023-12-12,0.9374290119005075
2023-12-13,0.9344620342283128
2023-12-14,0.9305704071997717
2023-12-15,0.9233889169763785
2023-12-18,0.923552854507198
2023-12-19,0.9268674556150933
2023-12-20,0.9218991574947453
2023-12-21,0.9259397921766884
2023-12-22,0.9258060028616135
2023-12-25,0.9311912453093782
2023-12-26,0.927093966309731
2023-12-27,0.9286777910479843
2023-12-28,0.9357825980330573
2023-12-29,0.9394868607652319
2024-01-02,0.939769474782527
2024-01-03,0.9443190017241098
2024-01-04,0.9422052112957426
2024-01-05,0.9459273432670976
2024-01-08,0.9341814742747568
2024-01-09,0.9382550323976081
2024-01-10,0.9333431560568974
2024-01-11,0.9336415146534308
2024-01-12,0.9416691597761712
2024-01-15,0.9496369678553463
2024-01-16,0.9591153818503039
2024-01-17,0.9417339348624603
2024-01-18,0.9452892196351824
2024-01-19,0.944859624515309
2024-01-22,0.9290782692896179
2024-01-23,0.9307179395728081
2024-01-24,0.953849488523025
2024-01-25,0.9762199397029819
2024-01-26,0.9783763643987822
2024-01-29,0.9882338906154757
2024-01-30,0.9721483395055986
2024-01-31,0.9654357542424813
2024-02-01,0.9608875370728591
2024-02-02,0.9547243685169758
2024-02-05,0.9632618723644182
2024-02-06,0.9825566540407368
2024-02-07,0.9843330063542348
2024-02-08,0.9866491439342042
2024-02-19,1.008311359261854
2024-02-20,1.0147702893473591
