date,HRP_4yr
2023-08-08,0.9975
2023-08-09,0.9935867557385136
2023-08-10,1.0013593359589117
2023-08-11,0.9805444088550082
2023-08-14,0.9762910922302785
2023-08-15,0.9783214362097394
2023-08-16,0.97134959617546
2023-08-17,0.9752630234808168
2023-08-18,0.9683652531818762
2023-08-21,0.9501485293798912
2023-08-22,0.9575050440217086
2023-08-23,0.9471818261196545
2023-08-24,0.9454867278128438
2023-08-25,0.9471137251693258
2023-08-28,0.952412217158655
2023-08-29,0.955453422562281
2023-08-30,0.9519266041363179
2023-08-31,0.9510385854882724
2023-09-01,0.9497542377874112
2023-09-04,0.9638905259372302
2023-09-05,0.9604177757704784
2023-09-06,0.9561288243362761
2023-09-07,0.9489886947678454
2023-09-08,0.9483422140417508
2023-09-11,0.9575731868981942
2023-09-12,0.9577085931654853
2023-09-13,0.9534243232024905
2023-09-14,0.9639874287003725
2023-09-15,0.9578593974569127
2023-09-18,0.9581793935356643
2023-09-19,0.958521017616249
2023-09-20,0.9566510742656882
2023-09-21,0.9504354004489917
2023-09-22,0.9611155474047449
2023-09-25,0.9594486151589448
2023-09-26,0.9527046868623648
2023-09-27,0.9478636852403365
2023-09-28,0.9513170287339501
2023-10-09,0.9564753225853955
2023-10-10,0.9532830151126466
2023-10-11,0.9523778216625185
2023-10-12,0.964284909259885
2023-10-13,0.9597725837766726
2023-10-16,0.9589743723932769
2023-10-17,0.9633173923715439
2023-10-18,0.9596153884713025
2023-10-19,0.9429264688295441
2023-10-20,0.9343745425765982
2023-10-23,0.9268472880271414
2023-10-24,0.9324166663781067
2023-10-25,0.9331773733527909
2023-10-26,0.9426009164065668
2023-10-27,0.9517467185934092
2023-10-30,0.9482182543756429
2023-10-31,0.9505239578123317
2023-11-01,0.9533627992763827
2023-11-02,0.9540930952517549
2023-11-03,0.9532148188110143
2023-11-06,0.9495421058983003
2023-11-07,0.9481846507506786
2023-11-08,0.9455771565063409
2023-11-09,0.9502882206827455
2023-11-10,0.9463397907182594
2023-11-13,0.9443488980181121
2023-11-14,0.9443210164389436
2023-11-15,0.9519743428461873
2023-11-16,0.9497349903635327
2023-11-17,0.9480776062621128
2023-11-20,0.9532788060388407
2023-11-21,0.9534571563748373
2023-11-22,0.9479464794785846
2023-11-23,0.9516115381210078
2023-11-24,0.9479750739324643
2023-11-27,0.9468964541003586
2023-11-28,0.9458347460680762
2023-11-29,0.938997861478905
2023-11-30,0.9454614022344877
2023-12-01,0.9410038879394604
2023-12-04,0.9397532647957493
2023-12-05,0.9262638933764603
2023-12-06,0.9223817649101591
2023-12-07,0.9213541009935374
2023-12-08,0.9233012897377209
2023-12-11,0.9263661428653495
2023-12-12,0.9374943345493275
2023-12-13,0.9356356758014179
2023-12-14,0.9317843510301741
2023-12-15,0.924247552033521
2023-12-18,0.9251617222084202
2023-12-19,0.9285544743430493
2023-12-20,0.924014512151551
2023-12-21,0.9277207000559057
2023-12-22,0.9278818868418388
2023-12-25,0.9329966011762137
2023-12-26,0.9286937898280702
2023-12-27,0.9306654169608137
2023-12-28,0.9373308141850134
2023-12-29,0.9409003488313634
2024-01-02,0.9413433848077969
2024-01-03,0.9456373472705444
2024-01-04,0.9437147785567186
2024-01-05,0.9478451552034494
2024-01-08,0.9356880118243041
2024-01-09,0.9398038475027286
2024-01-10,0.9347677861076571
2024-01-11,0.9347104135453081
2024-01-12,0.942774108139542
2024-01-15,0.9512044809254255
2024-01-16,0.9604187149128529
2024-01-17,0.9429353592282299
2024-01-18,0.9462269372239662
2024-01-19,0.9463966088111988
2024-01-22,0.9309207854674423
2024-01-23,0.9323146595064961
2024-01-24,0.9547309923887893
2024-01-25,0.9773356174968738
2024-01-26,0.9792348916105246
2024-01-29,0.9900631093320207
2024-01-30,0.9737329809014329
2024-01-31,0.9675241238892551
2024-02-01,0.9625098801661278
2024-02-02,0.9559641735945462
2024-02-05,0.9653601680574625
2024-02-06,0.9838221500273729
2024-02-07,0.9849095238477346
2024-02-08,0.9865511723256968
2024-02-19,1.0087774274255559
2024-02-20,1.0158720936139272
