date,MV_Sharpe
2023-08-08,0.9975
2023-08-09,0.9938567596893007
2023-08-10,0.9932622048713164
2023-08-11,0.9726298448421943
2023-08-14,0.9638865234568536
2023-08-15,0.9685467789601769
2023-08-16,0.9620258520031538
2023-08-17,0.9607359387267337
2023-08-18,0.9586948538411448
2023-08-21,0.9459015212904787
2023-08-22,0.9558074322417465
2023-08-23,0.9527356082708435
2023-08-24,0.9558142723479417
2023-08-25,0.9535042321986235
2023-08-28,0.966395151136728
2023-08-29,0.9591278968600097
2023-08-30,0.9595689678813388
2023-08-31,0.9566483280406387
2023-09-01,0.9530559838500365
2023-09-04,0.9800525002424876
2023-09-05,0.9683322349546559
2023-09-06,0.9672719216303836
2023-09-07,0.9627504794796593
2023-09-08,0.9535214202604134
2023-09-11,0.9601067360229028
2023-09-12,0.9576687414167749
2023-09-13,0.9526574551635569
2023-09-14,0.9692720366219774
2023-09-15,0.9594852337744155
2023-09-18,0.9721535687837745
2023-09-19,0.9657235676993362
2023-09-20,0.9689473998045459
2023-09-21,0.9597420761928577
2023-09-22,0.9748355674062383
2023-09-25,0.972357822403206
2023-09-26,0.97167569437225
2023-09-27,0.969032156357461
2023-09-28,0.9575476890056497
2023-10-09,0.9616230139577232
2023-10-10,0.9561275961452342
2023-10-11,0.9527373962979833
2023-10-12,0.9668928790760223
2023-10-13,0.9604109271817143
2023-10-16,0.9535917745452847
2023-10-17,0.9548172131011505
2023-10-18,0.9517116183094826
2023-10-19,0.9340218229889906
2023-10-20,0.9232008241438937
2023-10-23,0.9183686105227078
2023-10-24,0.9156089392700671
2023-10-25,0.9581984450802791
2023-10-26,0.955681409563282
2023-10-27,0.9645580769878844
2023-10-30,0.9574306594680345
2023-10-31,0.9609614432560151
2023-11-01,0.9673817213250794
2023-11-02,0.9701418242652653
2023-11-03,0.9693303997859053
2023-11-06,0.97080696014924
2023-11-07,0.973776666949656
2023-11-08,0.9689500017740142
2023-11-09,0.9696196705729302
2023-11-10,0.9701731078549952
2023-11-13,0.9592765648460014
2023-11-14,0.9583071515482333
2023-11-15,0.9740529108758506
2023-11-16,0.9725871161316052
2023-11-17,0.9754257088261732
2023-11-20,0.979449335585457
2023-11-21,0.9808646223021013
2023-11-22,0.9726340089826422
2023-11-23,0.9829890865315085
2023-11-24,0.9817334494861426
2023-11-27,0.9827176693428726
2023-11-28,0.9890649894960726
2023-11-29,0.9823104010257442
2023-11-30,0.9839105401306044
2023-12-01,0.9473908588654247
2023-12-04,0.9524521656912364
2023-12-05,0.9462367925265984
2023-12-06,0.9453317232581882
2023-12-07,0.9443297738217286
2023-12-08,0.9425979802224167
2023-12-11,0.9482542175100176
2023-12-12,0.9543023367302171
2023-12-13,0.9571072194523395
2023-12-14,0.9464727613204104
2023-12-15,0.9386985218937279
2023-12-18,0.9422260305846598
2023-12-19,0.9455518799505548
2023-12-20,0.94251582647728
2023-12-21,0.9418885698852726
2023-12-22,0.9411875201011376
2023-12-25,0.9517537698689511
2023-12-26,0.9500198757441541
2023-12-27,0.951862377105224
2023-12-28,0.9435648854587431
2023-12-29,0.9488744359424338
2024-01-02,0.9594480733201205
2024-01-03,0.9616638137806623
2024-01-04,0.962891348722034
2024-01-05,0.9603292407896331
2024-01-08,0.9512479699371827
2024-01-09,0.9529949155499696
2024-01-10,0.945202066543112
2024-01-11,0.942812882511562
2024-01-12,0.957751924136599
2024-01-15,0.9624206557583304
2024-01-16,0.9726840250392906
2024-01-17,0.9585594667112854
2024-01-18,0.9561393460693022
2024-01-19,0.9519788725844756
2024-01-22,0.938057017235818
2024-01-23,0.9398326234351396
2024-01-24,0.9681160168666768
2024-01-25,0.9801304903365697
2024-01-26,0.9856774356450176
2024-01-29,0.9862013406922272
2024-01-30,0.9770777168030725
2024-01-31,0.9795347914506611
2024-02-01,0.9774408795056193
2024-02-02,0.9778695514846989
2024-02-05,0.9963373712277613
2024-02-06,1.0007197335014182
2024-02-07,0.9998784952020447
2024-02-08,1.0014995072647892
2024-02-19,1.0196475035712134
2024-02-20,1.0382346260970758
