date,NCO_MinRisk
2023-08-08,0.9975
2023-08-09,0.993988664298627
2023-08-10,0.9998846479693925
2023-08-11,0.9783551484730105
2023-08-14,0.9759498131674277
2023-08-15,0.9797283501947406
2023-08-16,0.9718102498115715
2023-08-17,0.9769881499725892
2023-08-18,0.969161149435869
2023-08-21,0.9531152612565876
2023-08-22,0.9603818622006357
2023-08-23,0.9492838156296046
2023-08-24,0.9460828942991463
2023-08-25,0.9515515329850036
2023-08-28,0.9553206704956083
2023-08-29,0.9585036049316505
2023-08-30,0.9589625992243821
2023-08-31,0.9598234908665586
2023-09-01,0.9551845501068302
2023-09-04,0.963208317560033
2023-09-05,0.9643199174803508
2023-09-06,0.9600553302291333
2023-09-07,0.9534542083371047
2023-09-08,0.9524231561163173
2023-09-11,0.9615532102699317
2023-09-12,0.9619663376157095
2023-09-13,0.9591153217065452
2023-09-14,0.9697083087797181
2023-09-15,0.9652853377227635
2023-09-18,0.9602503951365211
2023-09-19,0.9625012755934013
2023-09-20,0.9588243236731556
2023-09-21,0.9519380372223603
2023-09-22,0.9636011668092906
2023-09-25,0.9624587919257439
2023-09-26,0.9571455636216882
2023-09-27,0.9498558587521945
2023-09-28,0.9545477362454852
2023-10-09,0.9640107999825581
2023-10-10,0.9629027730232961
2023-10-11,0.9627157629381802
2023-10-12,0.9705877669829696
2023-10-13,0.9675085874691514
2023-10-16,0.9673399608603318
2023-10-17,0.9731698421068365
2023-10-18,0.9709002212159692
2023-10-19,0.9569490074475692
2023-10-20,0.9476465481995803
2023-10-23,0.9398610619020351
2023-10-24,0.9486667899260837
2023-10-25,0.945233012365017
2023-10-26,0.957311308705706
2023-10-27,0.964575876534963
2023-10-30,0.9684473419889728
2023-10-31,0.970599598765833
2023-11-01,0.973950582870884
2023-11-02,0.9743643287074739
2023-11-03,0.9744679152901821
2023-11-06,0.967833455780695
2023-11-07,0.9670495827973689
2023-11-08,0.96652200077015
2023-11-09,0.9713392706246586
2023-11-10,0.9686082959461225
2023-11-13,0.9657413159170335
2023-11-14,0.962656622872502
2023-11-15,0.9724310723190699
2023-11-16,0.9701932875880513
2023-11-17,0.9697439757526801
2023-11-20,0.974830139588731
2023-11-21,0.9733066878669168
2023-11-22,0.9675035694384103
2023-11-23,0.9714853280816561
2023-11-24,0.9685865787596873
2023-11-27,0.9687727438165815
2023-11-28,0.9670544440414539
2023-11-29,0.9616085288381391
2023-11-30,0.9685085263150391
2023-12-01,0.9599730673389126
2023-12-04,0.9598942196155328
2023-12-05,0.94822730584328
2023-12-06,0.9448884087963875
2023-12-07,0.9433587591286202
2023-12-08,0.9444726240802405
2023-12-11,0.9502344434613975
2023-12-12,0.9576128818757043
2023-12-13,0.954632053593587
2023-12-14,0.9530504367394111
2023-12-15,0.9443444316284377
2023-12-18,0.947748072246205
2023-12-19,0.951641157981586
2023-12-20,0.9503357182420814
2023-12-21,0.9531758831385483
2023-12-22,0.9540600983054045
2023-12-25,0.9603545624938254
2023-12-26,0.9587884380650452
2023-12-27,0.9597460338599667
2023-12-28,0.9618445204655699
2023-12-29,0.9673557693215498
2024-01-02,0.9702089363502868
2024-01-03,0.9744617150118595
2024-01-04,0.972469296545122
2024-01-05,0.9710093966364309
2024-01-08,0.9611520180944462
2024-01-09,0.963138457534225
2024-01-10,0.956476238318739
2024-01-11,0.9531690618927142
2024-01-12,0.9614322825140915
2024-01-15,0.9671446927485866
2024-01-16,0.9737589520107797
2024-01-17,0.9582942369745917
2024-01-18,0.9637173917086933
2024-01-19,0.9650566170996571
2024-01-22,0.9511968617218821
2024-01-23,0.9507717243269215
2024-01-24,0.9728066191514708
2024-01-25,0.9881761230200167
2024-01-26,0.9909163562866661
2024-01-29,0.9979625781252428
2024-01-30,0.9829959539040701
2024-01-31,0.9833676837158742
2024-02-01,0.9783269059608961
2024-02-02,0.9755794053701626
2024-02-05,0.9885153527141243
2024-02-06,1.005792958020337
2024-02-07,1.0090073421064645
2024-02-08,1.0109960913395721
2024-02-19,1.0306575851877442
2024-02-20,1.0398205419163302
