date,NCO_MinRisk_4yr
2023-08-08,0.9975
2023-08-09,0.9956420485549963
2023-08-10,0.999382470820311
2023-08-11,0.9804383581579992
2023-08-14,0.97639626646558
2023-08-15,0.9816369980808518
2023-08-16,0.9755347273718874
2023-08-17,0.9798748775595324
2023-08-18,0.9758803292928987
2023-08-21,0.9592242668919989
2023-08-22,0.9666660666129415
2023-08-23,0.9599485375214792
2023-08-24,0.9547501628252004
2023-08-25,0.9603460525473292
2023-08-28,0.9653140145733514
2023-08-29,0.9628946609537254
2023-08-30,0.9586478163735846
2023-08-31,0.95784274510669
2023-09-01,0.9549654025751385
2023-09-04,0.9670361264569619
2023-09-05,0.9648470019582104
2023-09-06,0.961175654736626
2023-09-07,0.956519815109992
2023-09-08,0.9556891470938901
2023-09-11,0.9644994565131
2023-09-12,0.9654423926128304
2023-09-13,0.9640427716022071
2023-09-14,0.9786302450492631
2023-09-15,0.9720466662943005
2023-09-18,0.9724473689813504
2023-09-19,0.9747385791130022
2023-09-20,0.9748582105686958
2023-09-21,0.968578575424444
2023-09-22,0.9775844777272654
2023-09-25,0.9762992035502607
2023-09-26,0.9707075563947847
2023-09-27,0.9647363471207169
2023-09-28,0.967368205984095
2023-10-09,0.9748567235192344
2023-10-10,0.9710434709000704
2023-10-11,0.9697317327155096
2023-10-12,0.9795194410107199
2023-10-13,0.977805391268141
2023-10-16,0.9781346673981511
2023-10-17,0.9834014461817907
2023-10-18,0.9805939187776445
2023-10-19,0.9620064934803382
2023-10-20,0.9533486806262648
2023-10-23,0.9468916288998709
2023-10-24,0.9516728040699151
2023-10-25,0.9455766768888122
2023-10-26,0.9571887438345132
2023-10-27,0.9609842880465617
2023-10-30,0.9554948223617552
2023-10-31,0.9588307809484584
2023-11-01,0.9629421386717677
2023-11-02,0.9651332551557388
2023-11-03,0.9633911534616535
2023-11-06,0.9555817229618057
2023-11-07,0.9550798579258889
2023-11-08,0.9528137648082136
2023-11-09,0.9591573921207979
2023-11-10,0.9554334483003609
2023-11-13,0.9543426993236169
2023-11-14,0.9540197808024463
2023-11-15,0.9616628302352945
2023-11-16,0.9610041556866513
2023-11-17,0.9580208549795046
2023-11-20,0.9634519235555663
2023-11-21,0.9647250535454617
2023-11-22,0.9603589657554753
2023-11-23,0.9615822635090525
2023-11-24,0.9596227448415561
2023-11-27,0.9565667503546867
2023-11-28,0.9554266695425492
2023-11-29,0.9492194316475784
2023-11-30,0.958943959435941
2023-12-01,0.9569550780327795
2023-12-04,0.9559450569429986
2023-12-05,0.9438985286428065
2023-12-06,0.9394380680723176
2023-12-07,0.9400093994161344
2023-12-08,0.940849394218533
2023-12-11,0.9434640146923967
2023-12-12,0.9559448009790598
2023-12-13,0.9539064297859785
2023-12-14,0.9519608350352134
2023-12-15,0.9436869379149654
2023-12-18,0.9476041986538731
2023-12-19,0.9490568777884322
2023-12-20,0.9480026522043828
2023-12-21,0.949459475907924
2023-12-22,0.9509967084226915
2023-12-25,0.9560346861452834
2023-12-26,0.9540009863568613
2023-12-27,0.9545839989031775
2023-12-28,0.9572973644986017
2023-12-29,0.9603531087692773
2024-01-02,0.9649603752374407
2024-01-03,0.9703027555743328
2024-01-04,0.9709364307029898
2024-01-05,0.9769529051464414
2024-01-08,0.9658589947303988
2024-01-09,0.9672711760128387
2024-01-10,0.9623037708154958
2024-01-11,0.9600636881662247
2024-01-12,0.9711739769903082
2024-01-15,0.9765852275577884
2024-01-16,0.9848941689930583
2024-01-17,0.9696057861962301
2024-01-18,0.9698293774432166
2024-01-19,0.972184376545681
2024-01-22,0.9579938201991397
2024-01-23,0.9596889121832499
2024-01-24,0.9845070700621094
2024-01-25,1.0058093491757958
2024-01-26,1.0117555070741366
2024-01-29,1.0253473761187402
2024-01-30,1.013549650474865
2024-01-31,1.0109558777036287
2024-02-01,1.002518028480321
2024-02-02,0.9995165633064131
2024-02-05,1.0132590844044431
2024-02-06,1.0242210306127526
2024-02-07,1.023936485654011
2024-02-08,1.0229993079049795
2024-02-19,1.0467884488559727
2024-02-20,1.0555678613186275
